feature,importance
Eyelashes Size 2,0.17032816750263852
Eyebrow Distribution 2,0.13538207098273966
Spots 2,0.12750919237384284
Eyebrow Shape 1,0.09443341013650745
Iris Color 2,0.08440674202361631
Eyelashes Size 1,0.07575154112061691
Eyebrow Shape 2,0.07548831187311375
Skin Texture 2,0.06486131743923917
Spots 1,0.06110190256645254
Skin Color 2,0.05299423115912591
Eyebrow Size 1,0.051645313616999644
Iris Color 1,0.022819295353504406
Eyebrow Distribution 1,0.015391558731425633
Eyelids Shape 1,0.014734736436106089
Skin Texture 1,-0.008027109344616555
Eyelids Shape 2,-0.01094298697445454
Skin Color 1,-0.011980559394758427
Eyebrow Size 3,-0.01589713560209933
